player_name,height_wo_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,war_total,position_C,position_C-PF,position_PF,position_PF-C,position_PF-SF,position_PG,position_PG-SG,position_SF,position_SF-PF,position_SF-SG,position_SG,position_SG-PG,position_SG-SF
Cleanthony Early,78.0,209.4,82.75,101.5,4.45,8.5,9.0,34.0,40.0,11.15,3.18,,39,62.8,113.7,26.8,51.4,56.5,10.5,14.6,5.5,14.3,129,163,0.7909999999999999,137,256,0.535,47,148,0.318,4.4,1.8,40.3,3,3.79695,127.494,4.1,2013,0.37702191,34.0,94.4953,90.0426,3.12372,180.237,5.6228,4.31091,1.31189,6.57989,25.1026,5.52861,1.05128,2.2821,3.1538,5.4359,0.5897,0.7436,0.8974,13.9487,-0.4722097035,0,0,0,0,0,0,0,1,0,0,0,0,0
Tyler Ennis,73.0,181.5,79.25,98.0,6.2,8.25,8.75,29.0,36.0,11.12,3.3,,34,88.7,114.5,22.7,45.3,51.07,2.6,9.0,32.5,13.8,114,149,0.765,118,275,0.429,30,85,0.353,0.7,3.9,41.4,1,4.3659,123.15100000000001,2.3,2014,3.2413389,18.0,97.6955,92.6229,4.56203,202.885,6.86227,4.85439,2.00787,7.99607,35.7353,4.48187,3.5142,0.7941,2.5882,3.3824,5.5294,2.1176,0.1765,12.9412,0.394211717,0,0,0,0,0,1,0,0,0,0,0,0,0
Aaron Gordon,79.5,220.1,83.75,105.0,5.05,8.75,10.5,32.5,39.0,10.81,3.27,,38,77.1,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,76,180,0.42200000000000004,173,337,0.513,16,45,0.35600000000000004,3.4,1.8,47.1,1,2.9415,115.178,3.0,2014,1.36361758,4.0,87.7492,83.3035,4.961930000000001,242.82299999999998,8.3179,2.8902200000000002,5.4276800000000005,7.17364,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,3.056430059571429,0,0,1,0,0,0,0,0,0,0,0,0,0
Jerami Grant,78.5,214.0,86.75,107.0,3.75,9.25,9.25,,,,,,40,35.5,103.2,16.0,48.7,51.1,9.0,13.6,5.9,17.2,41,73,0.562,48,102,0.47100000000000003,6,15,0.4,3.7,1.8,62.4,1,0.953319,103.236,3.8,2013,0.6923077,39.0,91.0257,86.2944,1.95325,103.97200000000001,3.79555,1.1066200000000002,2.68892,3.22077,14.3,0.681628,2.53914,1.15,1.8,2.95,0.45,0.425,0.425,3.875,1.9418666447142858,0,0,0,0,0,0,0,1,0,0,0,0,0
Gary Harris,74.5,204.8,78.75,96.0,4.55,8.5,9.5,,,,,,33,70.5,115.1,20.4,56.4,58.75,3.7,6.3,9.5,14.8,65,89,0.73,84,169,0.49700000000000005,65,153,0.425,0.7,2.8,27.6,1,4.193219999999999,124.307,2.8,2013,0.8958405,19.0,96.14399999999999,89.3441,3.7943300000000004,154.748,7.024310000000001,5.43082,1.59349,7.7086,29.9091,4.99808,2.7105099999999998,0.8788,1.6667,2.5455,1.3030000000000002,1.3636,0.1818,12.9697,2.1511591814285715,0,0,0,0,0,0,0,0,0,0,1,0,0
Joe Harris,76.75,215.0,78.0,100.0,6.2,8.5,9.75,28.5,33.5,11.11,3.31,,31,72.8,105.3,20.1,54.5,56.96,4.6,14.0,10.3,17.3,44,58,0.759,42,100,0.42,65,156,0.41700000000000004,1.5,1.9,22.7,1,2.52351,109.90100000000001,3.0,2011,0.79596357,33.0,100.62100000000001,97.0835,3.01558,152.191,5.2339400000000005,3.05488,2.1790599999999998,4.20148,29.3548,2.95883,1.24265,1.129,3.2258,4.3548,1.2581,0.871,0.3548,10.4194,1.7934004399999999,0,0,0,0,0,0,0,0,0,0,1,0,0
Rodney Hood,79.25,208.2,80.5,103.0,7.45,8.5,8.5,29.0,36.0,11.21,3.38,,32,77.8,113.2,16.1,52.4,53.51,3.5,13.3,11.9,10.8,27,41,0.659,80,158,0.506,47,129,0.364,1.3,0.8,14.3,1,2.8338900000000002,109.821,1.6,2012,2.13333333,23.0,104.61399999999999,101.833,2.7274599999999998,158.15200000000002,3.5277199999999995,3.30626,0.22145900000000002,2.89568,32.8125,2.77567,0.12000799999999999,0.9688,3.8125,4.7812,2.0,0.4062,0.4375,10.25,1.399185334571429,0,0,0,0,0,0,0,1,0,0,0,0,0
Cory Jefferson,79.75,218.4,84.5,105.0,5.25,8.75,9.75,33.0,37.5,12.63,3.36,,20,5.9,94.8,16.3,41.2,47.0,13.6,12.3,0.0,21.9,6,9,0.667,7,16,0.43799999999999994,0,1,0.0,3.8,0.7,52.9,1,0.126186,93.3221,6.3,2010,0.0,60.0,100.71,96.734,0.42605,13.7402,-4.4735,-1.6392400000000003,-2.83426,-3.47347,4.15,-2.6297200000000003,-0.8437450000000001,0.45,0.5,0.95,0.0,0.05,0.15,1.0,0.5449549715,0,0,1,0,0,0,0,0,0,0,0,0,0
Nick Johnson,73.5,198.0,79.25,96.5,6.05,8.75,9.75,33.5,41.5,10.8,3.27,,35,69.7,95.1,20.8,44.4,48.78,2.5,10.6,18.7,20.1,74,109,0.679,59,143,0.413,40,125,0.32,2.0,1.6,40.7,1,1.36655,98.4709,3.2,2012,1.26866224,42.0,97.1291,94.3769,3.0937799999999998,165.75599999999997,0.9539200000000001,-0.27160100000000004,1.2255200000000002,0.82449,28.0857,-0.41319700000000004,1.23769,0.5714,2.6857,3.2571,2.4286,0.7429,0.5429,8.9143,-0.726463623,0,0,0,0,0,0,0,0,0,0,1,0,0
Sean Kilpatrick,74.5,218.7,79.0,99.0,9.2,9.0,9.0,,,,,,35,51.2,113.2,24.1,52.5,55.8,6.9,11.9,16.2,15.5,65,90,0.722,68,139,0.489,46,122,0.377,0.3,2.4,34.5,2,2.69834,122.863,2.5,2011,1.20926256,,95.419,91.4846,2.5209799999999998,119.069,5.9648699999999995,4.82449,1.14039,7.243410000000001,20.5714,5.67783,1.56558,1.2,1.9714,3.1714,1.4857,0.7714,0.0571,9.6857,-0.23046521075000004,0,0,0,0,0,0,0,0,0,0,1,0,0
