player_name,war_total
John Collins,5.127653744
Tyler Johnson,5.126885836
Tyreke Evans,5.121457164
Tobias Harris,5.121094883
Goran Dragic,5.119657865
George Hill,5.114290579
Taj Gibson,5.084257735
Rudy Gay,5.083692671
Nikola Pekovic,5.077060467
Brook Lopez,5.075910857
Monte Morris,5.062905422
Anthony Morrow,5.061901515
Patrick Patterson,5.061597981
Kristaps Porzingis,5.055728183
Kevin Durant,5.054340422
Andre Drummond,5.046424093
Rudy Gobert,5.042567262
Corey Brewer,5.035779191
Jae Crowder,5.034441419
Al-Farouq Aminu,5.0258856
Royce O'Neale,5.02552121
Al-Farouq Aminu,5.016918475
DeMar DeRozan,5.016133417
Donte DiVincenzo,5.007557218
Hassan Whiteside,5.001566281
Goran Dragic,4.998266178
Montrezl Harrell,4.992221163
Danny Green,4.987898644
Kyrie Irving,4.984231018
David Lee,4.980037663
Jonas Valanciunas,4.97955029
Pat Connaughton,4.974192277
Derrick Rose,4.960766788
Luc Mbah a Moute,4.952944792
Will Barton,4.9405736
Tristan Thompson,4.933889936
Mario Chalmers,4.920356478
Patty Mills,4.906299886
Joe Ingles,4.894506303
Chandler Parsons,4.894127881
Kevin Love,4.892562897
Ricky Rubio,4.892201
Bobby Portis,4.885733501
Gordon Hayward,4.881546039
Rodney Hood,4.876834252
Christian Wood,4.868193101
Greg Monroe,4.864522872
Chris Andersen,4.849268995
JJ Redick,4.846859014
Thaddeus Young,4.834188698
Jared Dudley,4.82804113
Thaddeus Young,4.815717903
Marcus Morris Sr.,4.813561072
Dwight Howard,4.81071122
Donovan Mitchell,4.809204411
Eric Gordon,4.802003508
Patrick Patterson,4.793909791
CJ McCollum,4.786542859
Andre Iguodala,4.774918608
Al-Farouq Aminu,4.759255562
Delon Wright,4.746659369
Jaylen Brown,4.74162673
Dennis Schroder,4.73847468
Dwight Howard,4.727669466
Jeremy Lamb,4.723255888
Hassan Whiteside,4.722997653
Brook Lopez,4.722776166
DeMarcus Cousins,4.722471671
Mikal Bridges,4.711452285
Giannis Antetokounmpo,4.707738546
Marcus Smart,4.706808385
Larry Nance Jr.,4.699344216
Eric Bledsoe,4.69933706
Jeremy Lin,4.694351213
Malcolm Brogdon,4.693845993
Gorgui Dieng,4.691925147
Kyrie Irving,4.67645409
T.J. McConnell,4.667297729
Bradley Beal,4.65647246
Courtney Lee,4.655463242
Devonte' Graham,4.653322438
Eric Gordon,4.652501062
OG Anunoby,4.649092632
Patty Mills,4.63617997
Seth Curry,4.629249836
JJ Redick,4.619082153
Reggie Jackson,4.617982429
Tim Hardaway Jr.,4.588989446
Otto Porter Jr.,4.582792236
Ersan Ilyasova,4.57374013
Deron Williams,4.57361288
Dario Saric,4.565806897
Nemanja Bjelica,4.561254463
Monta Ellis,4.554127202
Avery Bradley,4.55025849
Larry Nance Jr.,4.543462713
Steven Adams,4.542774677
Nemanja Bjelica,4.542515699
Klay Thompson,4.542051045
Josh Smith,4.541447052
PJ Tucker,4.524923925
Domantas Sabonis,4.523728782
Dirk Nowitzki,4.520110871
Danilo Gallinari,4.510366211
Devin Harris,4.510053502
George Hill,4.506438453
Delon Wright,4.504778666
Pascal Siakam,4.495235724
Ricky Rubio,4.494258396
Cory Joseph,4.491775123
Al-Farouq Aminu,4.489189758
Marcus Morris,4.485584644
Elfrid Payton,4.480804058
Mike Dunleavy,4.477528593
David Lee,4.473240889
Alex Caruso,4.471569552
Jeremy Lin,4.469710129
T.J. Warren,4.466414038
Jamal Murray,4.460166685
Ed Davis,4.457916388
Derrick Rose,4.456921208
Carmelo Anthony,4.456371769
DeMar DeRozan,4.455533563
Jared Sullinger,4.454046524
David West,4.453403832
Elfrid Payton,4.452388551
Ersan Ilyasova,4.439977612
Greg Monroe,4.433496502
Aaron Gordon,4.422694818
Randy Foye,4.418907313
Ricky Rubio,4.40825406
Marcus Smart,4.406167888
Richaun Holmes,4.403715095
Tony Allen,4.400997522
Jakob Poeltl,4.400967307
Tim Hardaway Jr.,4.389675951
Allen Crabbe,4.385720569
John Wall,4.383535104
Shane Battier,4.381639817
P.J. Tucker,4.377284614
Kristaps Porzingis,4.372766077
Ben Simmons,4.370734211
DeMar DeRozan,4.370055795
PJ Tucker,4.369162747
Andrew Bogut,4.369135746
Wesley Matthews,4.364513544
Aaron Gordon,4.354286776
Mike Dunleavy,4.348964536
Kent Bazemore,4.34503008
Courtney Lee,4.336069515
Rudy Gay,4.319684347
Facundo Campazzo,4.318792267
Devonte' Graham,4.317370589
Anthony Davis,4.316941219
PJ Tucker,4.311941762
Kemba Walker,4.309680266
Jae Crowder,4.307981306
Goran Dragic,4.305855083
Matisse Thybulle,4.301206564
